Crypto Scam URL,Scam Type
https://btecgcrypto.vip/,"Fraudulent Trading Platform

Pig Butchering Scam"
btecgcrypto.vip,"Fraudulent Trading Platform

Pig Butchering Scam"
https://premier-financeltd.org/,"Fraudulent Trading Platform

Livestream Scam

Pig Butchering Scam"
premier-financeltd.org,"Fraudulent Trading Platform

Livestream Scam

Pig Butchering Scam"
https://www.bitcexs.com/h5/#/,"Fraudulent Trading Platform

Pig Butchering Scam"
bitcexs.com,"Fraudulent Trading Platform

Pig Butchering Scam"
https://lzfu.com,"Fraudulent Trading Platform

Advance Fee Scam"
https://www.effortsity.com/,"Fraudulent Trading Platform

Advance Fee Scam

Liquidity Mining Scam"
http://cipherxpro.com/,"Fraudulent Trading Platform

Advance Fee Scam

Liquidity Mining Scam"
http://www.erspce.org,"Fraudulent Trading Platform

High Yield Investment Program

Rug Pull Scam"
www.erspce.org/,"Fraudulent Trading Platform

High Yield Investment Program

Rug Pull Scam"
http://www.erspce.org,"Fraudulent Trading Platform

High Yield Investment Program

Rug Pull Scam"
www.erspce.org/,"Fraudulent Trading Platform

High Yield Investment Program

Rug Pull Scam"
https://www.energyinnovation.online/,"Pig Butchering Scam

Fraudulent Trading Platform

Romance Scam"
https://www.energyinnovation.online/pc/main,"Pig Butchering Scam

Fraudulent Trading Platform

Romance Scam"
http://www.paxfula.com/,"Pig Butchering Scam

Fraudulent Trading Platform"
http://www.kgfega.top/,"Pig Butchering Scam

Fraudulent Trading Platform"
https://elisabatex.com/,"Pig Butchering Scam

Fraudulent Trading Platform"
https://h5.ltex.top/,"Pig Butchering Scam

Fraudulent Trading Platform"
https://e-cryptotrading.com/app/#/,Fraudulent Trading Platform
https://e-cryptotrading.com/,Fraudulent Trading Platform
https://cxipro.com/#/pages/base/index,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam"
www.cxisux.com,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam"
https://cxipro.com/#/pages/base/index,"Fraudulent Trading Platform

Pig Butchering Scam

Signal Selling Scam

Investment Group Scam"
www.cxisux.com,"Fraudulent Trading Platform

Pig Butchering Scam

Signal Selling Scam

Investment Group Scam"
https://rollysolution.com/,Fraudulent Trading Platform
www.crypto-btcdeal.com,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam"
https://www.crypto-btctep.com/#/,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam"
www.crypto-btctep.com,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam"
www.crypto-btcdeal.com,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam"
https://yunshfex.com/en/index,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam"
http://www.yunshfex.com,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam"
https://pc.dbg-coltdfx.cc/#/,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam"
http://m.xenocoins.com/,"Fraudulent Trading Platform

Pig Butchering Scam

Imposter Scam"
m.xenocoins.com,"Fraudulent Trading Platform

Pig Butchering Scam

Imposter Scam"
www.xonecoins.com,"Fraudulent Trading Platform

Pig Butchering Scam

Imposter Scam"
xonecoins.com,"Fraudulent Trading Platform

Pig Butchering Scam

Imposter Scam"
xenocoins.com,"Fraudulent Trading Platform

Pig Butchering Scam

Imposter Scam"
https://net.osain2023.com/,Fraudulent Trading Platform
www.net.osain2023.com,Fraudulent Trading Platform
www.osain2023.com,Fraudulent Trading Platform
https://celestia.bet,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam

Imposter Scam"
www.bitix.net,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam

Imposter Scam"
https://escortpro.com,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam"
www.escortpro.com,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam"
https://cbdexapi.pro,Fraudulent Trading Platform
https://cbdexapi.pro/#/,Fraudulent Trading Platform
https://aidex.tw,"Fraudulent Trading Platform

Pig Butchering Scam"
https://bitiqs.net/,"Fraudulent Trading Platform

Imposter Scam"
https://bitiqs.net,"Fraudulent Trading Platform

Imposter Scam"
http://zhibitexap.com/#/home,"Fraudulent Trading Platform

Pig Butchering Scam"
https://zhibitexap.com,"Fraudulent Trading Platform

Pig Butchering Scam"
zhibitexap.com,"Fraudulent Trading Platform

Pig Butchering Scam"
http://www.lontl-fx.com/#/,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam

Signal Selling Scam"
Lontl-fx.com,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam

Signal Selling Scam"
lontl-fn.com,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam

Signal Selling Scam"
http://www.lontl-fx.com/#/,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam"
Lontl-fx.com,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam"
lontl-fn.com,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam"
spikefxfasttrade.com,"Fraudulent Trading Platform

Pig Butchering Scam"
https://spikefxfasttrade.com/,"Fraudulent Trading Platform

Pig Butchering Scam"
https://www.coinegg.com/,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam"
http://coinegg.com,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam"
https://tetherpool.art/,"Fraudulent Trading Platform

Pig Butchering Scam"
tetherpool.art,"Fraudulent Trading Platform

Pig Butchering Scam"
tetherpool.top,"Fraudulent Trading Platform

Pig Butchering Scam"
https://www.bdswissasias.com/,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam

Imposter Scam

Signal Selling Scam"
https://m.bdswissasias.com/#/,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam

Imposter Scam

Signal Selling Scam"
https://global.bdswiss.com/,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam

Imposter Scam

Signal Selling Scam"
bdswissasias.com,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam

Imposter Scam

Signal Selling Scam"
m.bdswissasias.com,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam

Imposter Scam

Signal Selling Scam"
https://www.bdswissasias.com/,"Fraudulent Trading Platform

Pig Butchering Scam

Imposter Scam

Signal Selling Scam"
https://m.bdswissasias.com/#/,"Fraudulent Trading Platform

Pig Butchering Scam

Imposter Scam

Signal Selling Scam"
https://global.bdswiss.com/,"Fraudulent Trading Platform

Pig Butchering Scam

Imposter Scam

Signal Selling Scam"
bdswissasias.com,"Fraudulent Trading Platform

Pig Butchering Scam

Imposter Scam

Signal Selling Scam"
m.bdswissasias.com,"Fraudulent Trading Platform

Pig Butchering Scam

Imposter Scam

Signal Selling Scam"
https://flrmeshworknet.us,"Fraudulent Trading Platform

Crypto Giveaway/Airdrop Scam

Hacking

Imposter Scam

Pig Butchering Scam"
https://friktionali.com/h5,"Fraudulent Trading Platform

Imposter Scam

Pig Butchering Scam"
http://h5.coinmatevip.com,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam

Imposter Scam"
h5.coinmatevip.com,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam

Imposter Scam"
https://coinmatevip.com,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam

Imposter Scam"
coinmatevip.com,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam

Imposter Scam"
coinmatevp.com,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam

Imposter Scam"
https://coobe.im,Fraudulent Trading Platform
http://www.genieproxchange.com/,Fraudulent Trading Platform
https://tnegcoin.com/#/,"Fraudulent Trading Platform

Investment Group Scam

Signal Selling Scam"
http://legionfxtrader.com/,"Pig Butchering Scam

Fraudulent Trading Platform"
http://metae5exchange.com/,"Pig Butchering Scam

Fraudulent Trading Platform"
https://daletrades.com/,"Pig Butchering Scam

Fraudulent Trading Platform"
http://www.cryptowalletusd.com,"Pig Butchering Scam

Fraudulent Trading Platform

Imposter Scam"
www.cryptowallettc.com,"Pig Butchering Scam

Fraudulent Trading Platform

Imposter Scam"
http://www.cryptowalletusdt.com,"Pig Butchering Scam

Fraudulent Trading Platform

Imposter Scam"
www.cryptocomwallet.xyz,"Pig Butchering Scam

Fraudulent Trading Platform

Imposter Scam"
https://investdigitalfx.com/,"Pig Butchering Scam

Fraudulent Trading Platform"
https://pacpb.com/p/contact,"Pig Butchering Scam

Fraudulent Trading Platform"
https://cryptoxchangepro.com/,"Fraudulent Trading Platform

Asset Recovery Scam"
https://korsankopya.com,"Pig Butchering Scam

Fraudulent Trading Platform

Imposter Scam"
makerealscents.com,"Pig Butchering Scam

Fraudulent Trading Platform

Imposter Scam"
https://amgexohn.com/,"Pig Butchering Scam

Fraudulent Trading Platform"
www.amgexohn.com,"Pig Butchering Scam

Fraudulent Trading Platform"
https://amgexali.com/h5#/home,"Pig Butchering Scam

Fraudulent Trading Platform"
https://amgexohn.com/,"Pig Butchering Scam

Fraudulent Trading Platform"
www.amgexohn.com,"Pig Butchering Scam

Fraudulent Trading Platform"
https://amgexali.com/h5#/home,"Pig Butchering Scam

Fraudulent Trading Platform"
https://amgexohn.com/,"Pig Butchering Scam

Fraudulent Trading Platform"
www.amgexohn.com,"Pig Butchering Scam

Fraudulent Trading Platform"
https://amgexali.com/h5#/home,"Pig Butchering Scam

Fraudulent Trading Platform"
http://cryptotableservice.com/,"Pig Butchering Scam 

Fraudulent Trading Platform"
https://cryptotableservice.com/h5/,"Pig Butchering Scam 

Fraudulent Trading Platform"
http://harordc.com/,"Pig Butchering Scam 

Fraudulent Trading Platform"
https://m.zaifint.net/#/,"Pig Butchering Scam 

Fraudulent Trading Platform"
www.exmartexe.com,"Pig Butchering Scam 

Fraudulent Trading Platform"
https://exmartexe.com/,"Pig Butchering Scam 

Fraudulent Trading Platform"
www.sparkrlv.com,"Fraudulent Trading Platform

Pig Butchering Scam

Advance Fee Scam"
https://presale.kittycoin.app,"Livestream Scam

Fraudulent Trading Platform

Imposter Scam"
www.pnecoin.com,"Fraudulent Trading Platform

Pig Butchering Scam"
tydmgroup.co,"Fraudulent Trading Platform

Pig Butchering Scam

Signal Selling Scam"
Fonnex.com,Fraudulent Trading Platform
crypto-cex.global,"Fraudulent Trading Platform

Imposter Scam"
m.securityplatf.com,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam"
m.securityscoin.com,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam"
m.security-jys.com,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam"
m.securitymce.com,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam"
m.dcgdcgcom.com,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam"
https://volcanic.exchange/#/home,"Fraudulent Trading Platform

Pig Butchering Scam"
http://www.Nportfolio.com,"Fraudulent Trading Platform

Imposter Scam"
http://kucoinpromax.online,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam"
http://kucoinpromax.online/h5/#/,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam"
https://www.kucoinpromax.online,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam"
https://www.kucoinpromax.online/h5/#/,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam"
https://xanelex.com,"Livestream Scam

Fraudulent Trading Platform"
https://www.xanelex.com/,"Livestream Scam

Fraudulent Trading Platform"
https://www.coinsbitfx.com,Fraudulent Trading Platform
http://www.goldle.com/,"AI Investment Scam

Fraudulent Trading Platform"
https://whiz-latam.org,Fraudulent Trading Platform
http://www.whiz-latam.org,Fraudulent Trading Platform
http://whiz-latam.net/,Fraudulent Trading Platform
http://www.bitcoinfxtrades.com/,Fraudulent Trading Platform
https://wap.agimx.com/,"Fraudulent Trading Platform

AI Investment Scam"
http://wap.cse-krypto.co/,"Fraudulent Trading Platform

AI Investment Scam"
http://www.enw.cc/,"Fraudulent Trading Platform

Pig Butchering Scam"
https://www.vims.one/#/,"Fraudulent Trading Platform

Investment Group Scam

Signal Selling Scam"
https://www.vims.one,"Fraudulent Trading Platform

Investment Group Scam

Signal Selling Scam"
http://www.doublexrp.org/,"Fraudulent Trading Platform

Imposter Scam

Crypto Giveaway/Airdrop Scam"
http://globalfxscouts.com,Fraudulent Trading Platform
www.starliner.net,"Fraudulent Trading Platform

Crypto Giveaway/Airdrop Scam

Imposter Scam"
https://blackrock-us.vip/#/,"Fraudulent Trading Platform

Imposter Scam"
https://blackrock-us.com,"Fraudulent Trading Platform

Imposter Scam"
https://crypto4winners.com/,"Fraudulent Trading Platform

Liquidity Mining Scam"
http://silkglobaltop.com/,Fraudulent Trading Platform
www.desktradingpro.com,Fraudulent Trading Platform
https://desktradingpro.com/,Fraudulent Trading Platform
https://m.kngworld.com/h5/#/,"Fraudulent Trading Platform

Pig Butchering Scam"
https://www.flowmarketpro.com/,"Fraudulent Trading Platform

Pig Butchering Scam"
http://www.bmatxio.com/,Fraudulent Trading Platform
https://pc.coincap.market/#/,"Fraudulent Trading Platform

Pig Butchering Scam"
https://pc.coincap.market/#/home,"Fraudulent Trading Platform

Pig Butchering Scam"
https://pbity.com/,"Fraudulent Trading Platform

Pig Butchering Scam

Imposter Scam

Investment Group Scam"
http://bitcoin-cheats.com/,"Fraudulent Trading Platform

Crypto Job Scam"
coinsfasttrades.com,Fraudulent Trading Platform
https://www.coinbitjzsc.top/#/,"Fraudulent Trading Platform

Pig Butchering Scam 

Signal Selling Scam"
www.coinbitjszc.top,"Fraudulent Trading Platform

Pig Butchering Scam 

Signal Selling Scam"
Phemex.cyou,"Fraudulent Trading Platform

Pig Butchering Scam

Imposter Scam"
Phemex.icu,"Fraudulent Trading Platform

Pig Butchering Scam

Imposter Scam"
https://www.ajcoins.com/#/home,"Fraudulent Trading Platform

Signal Selling Scam"
https://onewaydigitalc.com/,Fraudulent Trading Platform
https://dailyharvestltd.com/en,"Fraudulent Trading Platform

Pig Butchering Scam

Imposter Scam

Signal Selling Scam"
https://m.invastfex.cc/#/,"Fraudulent Trading Platform

Pig Butchering Scam

Signal Selling Scam

Romance Scam"
https://www.aex.lol/trade/login.html,"Fraudulent Trading Platform

Imposter Scam"
https://haruinvest.com/,"Fraudulent Trading Platform

AI Investment Scam"
https://nasdaqon.com/#/,"Fraudulent Trading Platform

Romance Scam

Pig Butchering Scam"
http://dartya.com/,"Fraudulent Trading Platform

Crypto Job Scam"
http://www.itexustrade.com,"Fraudulent Trading Platform

Pig Butchering Scam

Imposter Scam"
https://www.fidefx.cc/h5,"Fraudulent Trading Platform

Pig Butchering Scam"
https://www.fidefx.cc/,"Fraudulent Trading Platform

Pig Butchering Scam"
https://www.bravaofx.com/,Fraudulent Trading Platform
https://bippax.com/#/home,"Fraudulent Trading Platform

Investment Group Scam"
https://www.elwallets.com/#/home,"Fraudulent Trading Platform

Investment Group Scam"
https://www.digicoins.cc/,Fraudulent Trading Platform
https://youbitpro.me/#/,"Fraudulent Trading Platform

Pig Butchering Scam"
http://www.dobsz.vip/,"Fraudulent Trading Platform

Pig Butchering Scam"
www.publicrealm.pro,"Fraudulent Trading Platform

Pig Butchering Scam"
https://gmelaunch.com/,"Fraudulent Trading Platform

Hacking

Crypto Wallet Drainer Attack"
Whitemaxus.com,"Fraudulent Trading Platform

Pig Butchering Scam"
http://whitemax.us/,"Fraudulent Trading Platform

Pig Butchering Scam"
https://whitemaxud.com/,"Fraudulent Trading Platform

Pig Butchering Scam"
https://www.whitemaxud.com/index.htm,"Fraudulent Trading Platform

Pig Butchering Scam"
https://www.globaltekforex.com/,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam"
http://turtsgrupfk.top/,"Fraudulent Trading Platform

Pig Butchering Scam"
https://primegroup.global/,Fraudulent Trading Platform
https://mantao.network/,"Fraudulent Trading Platform

Hacking

Imposter Scam

Crypto Wallet Drainer Attack"
